TABLE_NAME,FIELD_NAME,RDBMS_DATA_TYPE,SAS_DATA_TYPE,
PROCEDURES,PX_DATE,RDBMS Date,SAS Date (Numeric),
PROCEDURES,PX,RDBMS Text(11),SAS Char(11),
PROCEDURES,PX_TYPE,RDBMS Text(2),SAS Char(2),
PROCEDURES,PX_SOURCE,RDBMS Text(2),SAS Char(2),
PROCEDURES,PPX,RDBMS Text(2),SAS Char(2),
PROCEDURES,RAW_PX,RDBMS Text(x),SAS Char(x),
PROCEDURES,RAW_PX_TYPE,RDBMS Text(x),SAS Char(x),
PROCEDURES,RAW_PPX,RDBMS Text(x),SAS Char(x),
VITAL,VITALID,RDBMS Text(x),SAS Char(x),
VITAL,PATID,RDBMS Text(x),SAS Char(x),
VITAL,ENCOUNTERID,RDBMS Text(x),SAS Char(x),
VITAL,MEASURE_DATE,RDBMS Date,SAS Date (Numeric),
VITAL,MEASURE_TIME,RDBMS Text(5),SAS Time (Numeric),
VITAL,VITAL_SOURCE,RDBMS Text(2),SAS Char(2),
VITAL,HT,RDBMS Number(x),SAS Numeric(length 8),
VITAL,WT,RDBMS Number(x),SAS Numeric(length 8),
VITAL,DIASTOLIC,RDBMS Number(x),SAS Numeric(length 8),
VITAL,SYSTOLIC,RDBMS Number(x),SAS Numeric(length 8),
VITAL,ORIGINAL_BMI,RDBMS Number(x),SAS Numeric(length 8),
VITAL,BP_POSITION,RDBMS Text(2),SAS Char(2),
VITAL,SMOKING,RDBMS Text(2),SAS Char(2),
VITAL,TOBACCO,RDBMS Text(2),SAS Char(2),
VITAL,TOBACCO_TYPE,RDBMS Text(2),SAS Char(2),
VITAL,RAW_DIASTOLIC,RDBMS Text(x),SAS Char(x),
VITAL,RAW_SYSTOLIC,RDBMS Text(x),SAS Char(x),
VITAL,RAW_BP_POSITION,RDBMS Text(x),SAS Char(x),
VITAL,RAW_SMOKING,RDBMS Text(x),SAS Char(x),
VITAL,RAW_TOBACCO,RDBMS Text(x),SAS Char(x),
VITAL,RAW_TOBACCO_TYPE,RDBMS Text(x),SAS Char(x),
DISPENSING,DISPENSINGID,RDBMS Text(x),SAS Char(x),
DISPENSING,PATID,RDBMS Text(x),SAS Char(x),
DISPENSING,PRESCRIBINGID,RDBMS Text(x),SAS Char(x),
DISPENSING,DISPENSE_DATE,RDBMS Date,SAS Date (Numeric),
DISPENSING,NDC,RDBMS Text(11),SAS Char(11),
DISPENSING,DISPENSE_SOURCE,RDBMS Text(2),SAS Char(2),
DISPENSING,DISPENSE_SUP,RDBMS Number(x),SAS Numeric(length 8),
DISPENSING,DISPENSE_AMT,RDBMS Number(x),SAS Numeric(length 8),
DISPENSING,DISPENSE_DOSE_DISP,RDBMS Number(x),SAS Numeric(length 8),
DISPENSING,DISPENSE_DOSE_DISP_UNIT,RDBMS Text(x),SAS Char(x),
DISPENSING,DISPENSE_ROUTE,RDBMS Text(x),SAS Char(x),
DISPENSING,RAW_NDC,RDBMS Text(x),SAS Char(x),
DISPENSING,RAW_DISPENSE_DOSE_DISP,RDBMS Text(x),SAS Char(x),
DISPENSING,RAW_DISPENSE_DOSE_DISP_UNIT,RDBMS Text(x),SAS Char(x),
DISPENSING,RAW_DISPENSE_ROUTE,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,LAB_RESULT_CM_ID,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,PATID,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,ENCOUNTERID,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,SPECIMEN_SOURCE,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,LAB_LOINC,RDBMS Text(10),SAS Char(10),
LAB_RESULT_CM,LAB_RESULT_SOURCE,RDBMS Text (2),SAS Char(2),
LAB_RESULT_CM,LAB_LOINC_SOURCE,RDBMS Text(2),SAS Char(2),
LAB_RESULT_CM,PRIORITY,RDBMS Text(2),SAS Char(2),
LAB_RESULT_CM,RESULT_LOC,RDBMS Text(2),SAS Char(2),
LAB_RESULT_CM,LAB_PX,RDBMS Text(11),SAS Char(11),
LAB_RESULT_CM,LAB_PX_TYPE,RDBMS Text(2),SAS Char(2),
LAB_RESULT_CM,LAB_ORDER_DATE,RDBMS Date,SAS Date (Numeric),
LAB_RESULT_CM,SPECIMEN_DATE,RDBMS Date,SAS Date (Numeric),
LAB_RESULT_CM,SPECIMEN_TIME,RDBMS Text(5),SAS Time (Numeric),
LAB_RESULT_CM,RESULT_DATE,RDBMS Date,SAS Date (Numeric),
LAB_RESULT_CM,RESULT_TIME,RDBMS Text(5),SAS Time (Numeric),
LAB_RESULT_CM,RESULT_QUAL,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,RESULT_SNOMED,RDBMS Text(18),SAS Char(18),
LAB_RESULT_CM,RESULT_NUM,RDBMS Number(x),SAS Numeric(length 8),
LAB_RESULT_CM,RESULT_MODIFIER,RDBMS Text(2),SAS Char(2),
LAB_RESULT_CM,RESULT_UNIT,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,NORM_RANGE_LOW,RDBMS Text(10),SAS Char(10),
LAB_RESULT_CM,NORM_MODIFIER_LOW,RDBMS Text(2),SAS Char(2),
LAB_RESULT_CM,NORM_RANGE_HIGH,RDBMS Text(10),SAS Char(10),
LAB_RESULT_CM,NORM_MODIFIER_HIGH,RDBMS Text(2),SAS Char(2),
LAB_RESULT_CM,ABN_IND,RDBMS Text(2),SAS Char(2),
LAB_RESULT_CM,RAW_LAB_NAME,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,RAW_LAB_CODE,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,RAW_PANEL,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,RAW_RESULT,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,RAW_UNIT,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,RAW_ORDER_DEPT,RDBMS Text(x),SAS Char(x),
LAB_RESULT_CM,RAW_FACILITY_CODE,RDBMS Text(x),SAS Char(x),
CONDITION,CONDITIONID,RDBMS Text(x),SAS Char(x),
CONDITION,PATID,RDBMS Text(x),SAS Char(x),
CONDITION,ENCOUNTERID,RDBMS Text(x),SAS Char(x),
CONDITION,REPORT_DATE,RDBMS Date,SAS Date (Numeric),
CONDITION,RESOLVE_DATE,RDBMS Date,SAS Date (Numeric),
CONDITION,ONSET_DATE,RDBMS Date,SAS Date (Numeric),
CONDITION,CONDITION_STATUS,RDBMS Text(2),SAS Char(2),
CONDITION,CONDITION,RDBMS Text(18),SAS Char(18),
CONDITION,CONDITION_TYPE,RDBMS Text(2),SAS Char(2),
CONDITION,CONDITION_SOURCE,RDBMS Text(2),SAS Char(2),
CONDITION,RAW_CONDITION_STATUS,RDBMS Text(x),SAS Char(x),
CONDITION,RAW_CONDITION,RDBMS Text(x),SAS Char(x),
CONDITION,RAW_CONDITION_TYPE,RDBMS Text(x),SAS Char(x),
CONDITION,RAW_CONDITION_SOURCE,RDBMS Text(x),SAS Char(x),
PRO_CM,PRO_CM_ID,RDBMS Text(x),SAS Char(x),
PRO_CM,PATID,RDBMS Text(x),SAS Char(x),
PRO_CM,ENCOUNTERID,RDBMS Text(x),SAS Char(x),
PRO_CM,PRO_DATE,RDBMS Date,SAS Date (Numeric),
PRO_CM,PRO_TIME,RDBMS Text(5),SAS Time (Numeric),
PRO_CM,PRO_TYPE,RDBMS Text(2),SAS Char(2),
PRO_CM,PRO_ITEM_NAME,RDBMS Text(x),SAS Char(x),
PRO_CM,PRO_ITEM_LOINC,RDBMS Text(10),SAS Char(10),
PRO_CM,PRO_RESPONSE_TEXT,RDBMS Text(x),SAS Char(x),
PRO_CM,PRO_RESPONSE_NUM,RDBMS Number(x),SAS Numeric(length 8),
PRO_CM,PRO_METHOD,RDBMS Text(2),SAS Char(2),
PRO_CM,PRO_MODE,RDBMS Text(2),SAS Char(2),
PRO_CM,PRO_CAT,RDBMS Text(2),SAS Char(2),
PRO_CM,PRO_SOURCE,RDBMS Text(2),SAS Char(2),
PRO_CM,PRO_ITEM_VERSION,RDBMS Text(x),SAS Char(x),
PRO_CM,PRO_MEASURE_NAME,RDBMS Text(x),SAS Char(x),
PRO_CM,PRO_MEASURE_SEQ,RDBMS Text(x),SAS Char(x),
PRO_CM,PRO_MEASURE_SCORE,RDBMS Number(x),SAS Numeric(length 8),
PRO_CM,PRO_MEASURE_THETA,RDBMS Number(x),SAS Numeric(length 8),
PRO_CM,PRO_MEASURE_SCALED_TSCORE,RDBMS Number(x),SAS Numeric(length 8),
PRO_CM,PRO_MEASURE_STANDARD_ERROR,RDBMS Number(x),SAS Numeric(length 8),
PRO_CM,PRO_MEASURE_COUNT_SCORED,RDBMS Number(x),SAS Numeric(length 8),
PRO_CM,PRO_MEASURE_LOINC,RDBMS Text(10),SAS Char(10),
PRO_CM,PRO_MEASURE_VERSION,RDBMS Text(x),SAS Char(x),
PRO_CM,PRO_ITEM_FULLNAME,RDBMS Text(x),SAS Char(x),
PRO_CM,PRO_ITEM_TEXT,RDBMS Text(x),SAS Char(x),
PRO_CM,PRO_MEASURE_FULLNAME,RDBMS Text(x),SAS Char(x),
PRESCRIBING,PRESCRIBINGID,RDBMS Text(x),SAS Char(x),
PRESCRIBING,PATID,RDBMS Text(x),SAS Char(x),
PRESCRIBING,ENCOUNTERID,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RX_PROVIDERID,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RX_ORDER_DATE,RDBMS Date,SAS Date (Numeric),
PRESCRIBING,RX_ORDER_TIME,RDBMS Text(5),SAS Time (Numeric),
PRESCRIBING,RX_START_DATE,RDBMS Date,SAS Date (Numeric),
PRESCRIBING,RX_END_DATE,RDBMS Date,SAS Date (Numeric),
PRESCRIBING,RX_DOSE_ORDERED,RDBMS Number(x),SAS Numeric(length 8),
PRESCRIBING,RX_DOSE_ORDERED_UNIT,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RX_QUANTITY,RDBMS Number(x),SAS Numeric(length 8),
PRESCRIBING,RX_DOSE_FORM,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RX_REFILLS,RDBMS Number(x),SAS Numeric(length 8),
PRESCRIBING,RX_DAYS_SUPPLY,RDBMS Number(x),SAS Numeric(length 8),
PRESCRIBING,RX_FREQUENCY,RDBMS Text(2),SAS Char(2),
PRESCRIBING,RX_PRN_FLAG,RDBMS Text(1),SAS Char(1),
PRESCRIBING,RX_ROUTE,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RX_BASIS,RDBMS Text(2),SAS Char(2),
PRESCRIBING,RXNORM_CUI,RDBMS Text (8),SAS Char(8),
PRESCRIBING,RX_SOURCE,RDBMS Text(2),SAS Char(2),
PRESCRIBING,RX_DISPENSE_AS_WRITTEN,RDBMS Text(2),SAS Char(2),
PRESCRIBING,RAW_RX_MED_NAME,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RAW_RX_FREQUENCY,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RAW_RXNORM_CUI,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RAW_RX_QUANTITY,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RAW_RX_NDC,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RAW_RX_DOSE_ORDERED,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RAW_RX_DOSE_ORDERED_UNIT,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RAW_RX_ROUTE,RDBMS Text(x),SAS Char(x),
PRESCRIBING,RAW_RX_REFILLS,RDBMS Text(x),SAS Char(x),
PCORNET_TRIAL,PATID,RDBMS Text(x),SAS Char(x),
PCORNET_TRIAL,TRIALID,RDBMS Text(20),SAS Char(20),
PCORNET_TRIAL,PARTICIPANTID,RDBMS Text(x),SAS Char(x),
PCORNET_TRIAL,TRIAL_SITEID,RDBMS Text(x),SAS Char(x),
PCORNET_TRIAL,TRIAL_ENROLL_DATE,RDBMS Date,SAS Date (Numeric),
PCORNET_TRIAL,TRIAL_END_DATE,RDBMS Date,SAS Date (Numeric),
PCORNET_TRIAL,TRIAL_WITHDRAW_DATE,RDBMS Date,SAS Date (Numeric),
PCORNET_TRIAL,TRIAL_INVITE_CODE,RDBMS Text(20),SAS Char(20),
DEATH,PATID,RDBMS Text(x),SAS Char(x),
DEATH,DEATH_DATE,RDBMS Date,SAS Date (Numeric),
DEATH,DEATH_DATE_IMPUTE,RDBMS Text(2),SAS Char(2),
DEATH,DEATH_SOURCE,RDBMS Text(2),SAS Char(2),
DEATH,DEATH_MATCH_CONFIDENCE,RDBMS Text(2),SAS Char(2),
DEATH_CAUSE,PATID,RDBMS Text(x),SAS Char(x),
DEATH_CAUSE,DEATH_CAUSE,RDBMS Text(8),SAS Char(8),
DEATH_CAUSE,DEATH_CAUSE_CODE,RDBMS Text(2),SAS Char(2),
DEATH_CAUSE,DEATH_CAUSE_TYPE,RDBMS Text(2),SAS Char(2),
DEATH_CAUSE,DEATH_CAUSE_SOURCE,RDBMS Text(2),SAS Char(2),
DEATH_CAUSE,DEATH_CAUSE_CONFIDENCE,RDBMS Text(2),SAS Char(2),
MED_ADMIN,MEDADMINID,RDBMS Text(x),SAS Char(x),
MED_ADMIN,PATID,RDBMS Text(x),SAS Char(x),
MED_ADMIN,ENCOUNTERID,RDBMS Text(x),SAS Char(x),
MED_ADMIN,PRESCRIBINGID,RDBMS Text(x),SAS Char(x),
MED_ADMIN,MEDADMIN_PROVIDERID,RDBMS Text(x),SAS Char(x),
MED_ADMIN,MEDADMIN_START_DATE,RDBMS Date,SAS Date (Numeric),
MED_ADMIN,MEDADMIN_START_TIME,RDBMS Text(5),SAS Time (Numeric),
MED_ADMIN,MEDADMIN_STOP_DATE,RDBMS Date,SAS Date (Numeric),
MED_ADMIN,MEDADMIN_STOP_TIME,RDBMS Text(5),SAS Time (Numeric),
MED_ADMIN,MEDADMIN_TYPE,RDBMS Text(2),SAS Char(2),
MED_ADMIN,MEDADMIN_CODE,RDBMS Text(11),SAS Char(11),
MED_ADMIN,MEDADMIN_DOSE_ADMIN,RDBMS Number(x),SAS Numeric(length 8),
MED_ADMIN,MEDADMIN_DOSE_ADMIN_UNIT,RDBMS Text(x),SAS Char(x),
MED_ADMIN,MEDADMIN_ROUTE,RDBMS Text(x),SAS Char(x),
MED_ADMIN,MEDADMIN_SOURCE,RDBMS Text(2),SAS Char(2),
MED_ADMIN,RAW_MEDADMIN_MED_NAME,RDBMS Text(x),SAS Char(x),
MED_ADMIN,RAW_MEDADMIN_CODE,RDBMS Text(x),SAS Char(x),
MED_ADMIN,RAW_MEDADMIN_DOSE_ADMIN,RDBMS Text(x),SAS Char(x),
MED_ADMIN,RAW_MEDADMIN_DOSE_ADMIN_UNIT,RDBMS Text(x),SAS Char(x),
MED_ADMIN,RAW_MEDADMIN_ROUTE,RDBMS Text(x),SAS Char(x),
PROVIDER,PROVIDERID,RDBMS Text(x),SAS Char(x),
PROVIDER,PROVIDER_SEX,RDBMS Text(2),SAS Char(2),
PROVIDER,PROVIDER_SPECIALTY_PRIMARY,RDBMS Text(x),SAS Char(x),
PROVIDER,PROVIDER_NPI,RDBMS Number(x),SAS Numeric(length 8),
PROVIDER,PROVIDER_NPI_FLAG,RDBMS Text(1),SAS Char(1),
PROVIDER,RAW_PROVIDER_SPECIALTY_PRIMARY,RDBMS Text(x),SAS Char(x),
OBS_CLIN,OBSCLINID,RDBMS Text(x),SAS Char(x),
OBS_CLIN,PATID,RDBMS Text(x),SAS Char(x),
OBS_CLIN,ENCOUNTERID,RDBMS Text(x),SAS Char(x),
OBS_CLIN,OBSCLIN_PROVIDERID,RDBMS Text(x),SAS Char(x),
OBS_CLIN,OBSCLIN_START_DATE,RDBMS Date,SAS Date (Numeric),
OBS_CLIN,OBSCLIN_START_TIME,RDBMS Text(5),SAS Time (Numeric),
OBS_CLIN,OBSCLIN_STOP_DATE,RDBMS Date,SAS Date (Numeric),
OBS_CLIN,OBSCLIN_STOP_TIME,RDBMS Text(5) ,SAS Time (Numeric),
OBS_CLIN,OBSCLIN_TYPE,RDBMS Text(2),SAS Char(2),
OBS_CLIN,OBSCLIN_CODE,RDBMS Text(18),SAS Char(18),
OBS_CLIN,OBSCLIN_RESULT_QUAL,RDBMS Text(x),SAS Char(x),
OBS_CLIN,OBSCLIN_RESULT_TEXT,RDBMS Text(x),SAS Char(x),
OBS_CLIN,OBSCLIN_RESULT_SNOMED,RDBMS Text(18),SAS Char(18),
OBS_CLIN,OBSCLIN_RESULT_NUM,RDBMS Number(x),SAS Numeric(length 8),
OBS_CLIN,OBSCLIN_RESULT_MODIFIER,RDBMS Text(2),SAS Char(2),
OBS_CLIN,OBSCLIN_RESULT_UNIT,RDBMS Text(x),SAS Char(x),
OBS_CLIN,OBSCLIN_SOURCE,RDBMS Text(2),SAS Char(2),
OBS_CLIN,OBSCLIN_ABN_IND,RDBMS Text(2),SAS Char(2),
OBS_CLIN,RAW_OBSCLIN_NAME,RDBMS Text(x),SAS Char(x),
OBS_CLIN,RAW_OBSCLIN_CODE,RDBMS Text(x),SAS Char(x),
OBS_CLIN,RAW_OBSCLIN_TYPE,RDBMS Text(x),SAS Char(x),
OBS_CLIN,RAW_OBSCLIN_RESULT,RDBMS Text(x),SAS Char(x),
OBS_CLIN,RAW_OBSCLIN_MODIFIER,RDBMS Text(x),SAS Char(x),
OBS_CLIN,RAW_OBSCLIN_UNIT,RDBMS Text(x),SAS Char(x),
OBS_GEN,OBSGENID,RDBMS Text(x),SAS Char(x),
OBS_GEN,PATID,RDBMS Text(x),SAS Char(x),
OBS_GEN,ENCOUNTERID,RDBMS Text(x),SAS Char(x),
OBS_GEN,OBSGEN_PROVIDERID,RDBMS Text(x),SAS Char(x),
OBS_GEN,OBSGEN_START_DATE,RDBMS Date,SAS Date (Numeric),
OBS_GEN,OBSGEN_START_TIME,RDBMS Text(5) ,SAS Time (Numeric),
OBS_GEN,OBSGEN_STOP_DATE,RDBMS Date,SAS Date (Numeric),
OBS_GEN,OBSGEN_STOP_TIME,RDBMS Text(5) ,SAS Time (Numeric),
OBS_GEN,OBSGEN_TYPE,RDBMS Text(30),SAS Char(30),
OBS_GEN,OBSGEN_CODE,RDBMS Text(50),SAS Char(50),
OBS_GEN,OBSGEN_RESULT_QUAL,RDBMS Text(x),SAS Char(x),
OBS_GEN,OBSGEN_RESULT_TEXT,RDBMS Text(x),SAS Char(x),
OBS_GEN,OBSGEN_RESULT_NUM,RDBMS Number(x),SAS Numeric(length 8),
OBS_GEN,OBSGEN_RESULT_MODIFIER,RDBMS Text(2),SAS Char(2),
OBS_GEN,OBSGEN_RESULT_UNIT,RDBMS Text(x),SAS Char(x),
OBS_GEN,OBSGEN_TABLE_MODIFIED,RDBMS Text(3),SAS Char(3),
OBS_GEN,OBSGEN_ID_MODIFIED,RDBMS Text(x),SAS Char(x),
OBS_GEN,OBSGEN_SOURCE,RDBMS Text(2),SAS Char(2),
OBS_GEN,OBSGEN_ABN_IND,RDBMS Text(2),SAS Char(2),
OBS_GEN,RAW_OBSGEN_NAME,RDBMS Text(x),SAS Char(x),
OBS_GEN,RAW_OBSGEN_CODE,RDBMS Text(x),SAS Char(x),
OBS_GEN,RAW_OBSGEN_TYPE,RDBMS Text(x),SAS Char(x),
OBS_GEN,RAW_OBSGEN_RESULT,RDBMS Text(x),SAS Char(x),
OBS_GEN,RAW_OBSGEN_UNIT,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,PATID,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_01,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_02,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_03,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_04,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_05,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_06,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_07,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_08,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_09,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_12,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_14,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_15,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_16,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_17,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_18,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_23,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_24,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_25,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_26,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_29,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_30,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_101,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_102,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_103,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_104,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_105,RDBMS Text(x),SAS Char(x),
HASH_TOKEN,TOKEN_106,RDBMS Text(x),SAS Char(x),
