loinc_num,long_common_name,classtype,found_in_lab,found_in_obs_clin,found_in_obs_gen
1871-3,Apolipoprotein B-100 [Mass/vo,1,1,,
18716-1,Allergy studies (set),3,,,1
18717-9,Blood bank studies (set),3,,,1
18718-7,Cell marker studies (set),3,,,1
18719-5,Chemistry studies (set),3,,,1
18720-3,Coagulation studies (set),3,,,1
1872-1,Apolipoprotein B-150 [Mass/vo,1,1,,
18721-1,Therapeutic drug monitoring s,3,,,1
18722-9,Fertility studies (set),3,,,1
18723-7,Hematology studies (set),3,,,1
18724-5,HLA studies (set),3,,,1
18725-2,Microbiology studies (set),3,,,1
18726-0,Radiology studies (set),3,,,1
18727-8,Serology studies (set),3,,,1
18728-6,Toxicology studies (set),3,,,1
18729-4,Urinalysis studies (set),3,,,1
18730-2,Deprecated Psychiatric rehabi,3,,,1
18733-6,Attending Progress note,2,,1,1
18734-4,Occupational therapy Initial,2,,1,1
18735-1,Physical therapy Initial eval,2,,1,1
18736-9,Physician Initial evaluation,2,,1,1
18737-7,Podiatry Initial evaluation n,2,,1,1
18738-5,Psychology Initial evaluation,2,,1,1
1873-9,Apolipoprotein B-48 [Mass/vol,1,1,,
18739-3,Social worker Initial evaluat,2,,1,1
18740-1,Speech-language pathology Ini,2,,1,1
18741-9,Deprecated Attending physicia,3,,,1
18742-7,Arthroscopy study,2,,1,1
18743-5,Autopsy report,2,,1,1
18744-3,Bronchoscopy study,2,,1,1
18745-0,Cardiac catheterization study,2,,1,1
18746-8,Colonoscopy study,2,,1,1
1874-7,Apolipoprotein B/Apolipoprote,1,1,,
18747-6,Deprecated CT Unspecified sys,3,,,1
18748-4,Diagnostic imaging study,2,,1,1
18749-2,Electromyogram study,2,,1,1
187-5,Ciprofloxacin [Susceptibility,1,1,,
18750-0,Electrophysiology study,2,,1,1
18751-8,Endoscopy study,2,,1,1
18752-6,Exercise stress test study,2,,1,1
18753-4,Flexible sigmoidoscopy study,2,,1,1
1875-4,Apolipoprotein C-I [Mass/volu,1,1,,
18754-2,Holter monitor study,2,,1,1
18755-9,Deprecated MRI Unspecified si,3,,,1
18756-7,MR Spine study,2,,1,1
18757-5,Deprecated Nuclear medicine s,3,,,1
18758-3,Deprecated PET scan Unspecifi,3,,,1
18759-1,Spirometry study,2,,1,1
18760-9,Deprecated US Unspecified sys,3,,,1
18761-7,Transfer summary note,2,,1,1
1876-2,Apolipoprotein C-II [Mass/vol,1,1,,
18762-5,Deprecated Chiropractor Progr,3,,,1
18763-3,Consultant Initial evaluation,2,,1,1
18764-1,Deprecated Nurse practitioner,3,,,1
18765-8,Deprecated Podiatry visit not,3,,,1
18766-6,Deprecated Psychology visit n,3,,,1
18767-4,Blood gas studies (set),3,,,1
18768-2,Cell counts+Differential stud,3,,,1
18769-0,Microbial susceptibility test,3,,,1
1877-0,Apolipoprotein C-III [Mass/vo,1,1,,
18770-8,Dictating practitioner name,3,,,1
18771-6,Provider signing name,2,,1,1
18772-4,Surgeon.resident name,3,,,1
18773-2,Surgeon.staff name,3,,,1
18774-0,Staff practitioner name,3,,,1
18775-7,Staff practitioner identifier,3,,,1
18776-5,Plan of care note,2,,1,1
18777-3,Deprecated Psychiatric rehabi,3,,,1
18779-9,Radiology Comparison study -,3,,,1
18780-7,Ordering practitioner identif,3,,,1
18781-5,Ordering practitioner name,3,,,1
18782-3,Radiology Study observation (,3,,,1
18783-1,Radiology Study recommendatio,3,,,1
18785-6,Radiology Reason for study (n,3,,,1
1878-8,Apolipoprotein A-III [Mass/vo,1,1,,
18789-8,Include all data of the selec,3,,,1
18790-6,Include all data of the selec,3,,,1
18791-4,Include all data of the selec,3,,,1
18792-2,Include all data of the selec,3,,,1
18793-0,Use no fixed time limit on da,3,,,1
18794-8,Send all items of the specifi,3,,,1
18795-5,Send all items of the specifi,3,,,1
1879-6,Apolipoprotein E2 [Mass/volum,1,1,,
18796-3,Send all abnormals within the,3,,,1
18797-1,Send the first abnormals with,3,,,1
18798-9,Send the last abnormals withi,3,,,1
18799-7,"Send the first (i.e., oldest)",3,,,1
18800-3,Send the worst abnormal resul,3,,,1
18802-9,Send the last (most recent) w,3,,,1
18803-7,Include all data of the selec,3,,,1
1880-4,Beta 2 glycoprotein 1 [Mass/v,1,1,,
18804-5,Include all data of the selec,3,,,1
18805-2,Include all data of the selec,3,,,1
18806-0,Include all data of the selec,3,,,1
18807-8,Include all data of the selec,3,,,1
18810-2,EKG Study observation overall,2,,1,1
1881-2,Apolipoprotein LPA [Mass/volu,1,1,,
18812-8,"Ambulance transport, Ordering",3,,,1
18813-6,"Ambulance transport, Ordering",3,,,1
18814-4,"Ambulance transport, Reason f",3,,,1
18815-1,"Ambulance transport, Reason f",3,,,1
18816-9,Medication name + identifier,3,,,1
18817-7,Medication dose,3,,,1
18818-5,Medication timing + Quantity,3,,,1
18819-3,Deprecated Psychiatric rehabi,3,,,1
1882-0,Apolipoprotein LPQ [Mass/volu,1,1,,
18820-1,Deprecated Psychiatric rehabi,3,,,1
18821-9,Diagnosis addressed by plan,3,,,1
18822-7,Diagnosis addressed by plan (,3,,,1
18823-5,Alcohol and/or substance abus,2,,1,1
18824-3,Cardiac service attachment,2,,1,1
18825-0,Medical social services attac,2,,1,1
18826-8,Occupational therapy service,2,,1,1
188-3,Clarithromycin [Susceptibilit,1,1,,
18833-4,First Body weight,3,,,1
18834-2,Radiology Comparison study (n,3,,,1
18835-9,Aortic valve area method Narr,2,,1,1
18836-7,Cardiac stress study Procedur,2,,1,1
18837-5,Left ventricle Segmental wall,2,,1,1
1883-8,Apolipoprotein A [Mass/volume,1,1,,
18838-3,Cardiac echo study Transducer,2,,1,1
18839-1,Cardiac echo imaging device C,2,,1,1
18840-9,Left ventricular Wall motion,2,,1,1
18841-7,Hospital consultations Docume,2,,1,1
18842-5,Discharge summary,2,,1,1
18843-3,EKG Comparison study (narrati,2,,1,1
18844-1,EKG impression Narrative,2,,1,1
18845-8,Reference beat type (narrativ,3,,,1
1884-6,Apolipoprotein B [Mass/volume,1,1,,
18846-6,Examination level ultrasound,3,,,1
18847-4,Narrative Fetal position palp,2,,1,1
18848-2,Narrative Fetal position US,2,,1,1
18849-0,Narrative Fetal presentation,2,,1,1
18850-8,Narrative Fetal presentation,2,,1,1
18851-6,Fetal Placenta Grade US (narr,2,,1,1
18852-4,Deprecated Operative note - s,3,,,1
1885-3,Apolipoprotein C [Mass/volume,1,1,,
18855-7,5-Fluorocytosine [Susceptibil,1,1,,
18857-3,Almecillin [Susceptibility],1,1,,
18859-9,Amdinocillin [Susceptibility],1,1,,
18860-7,Amikacin [Susceptibility],1,1,,
1886-1,Apolipoprotein E [Mass/volume,1,1,,
18861-5,Amoxicillin [Susceptibility],1,1,,
18862-3,Amoxicillin+Clavulanate [Susc,1,1,,
18863-1,Amphotericin B [Susceptibilit,1,1,,
18864-9,Ampicillin [Susceptibility],1,1,,
18865-6,Ampicillin+Sulbactam [Suscept,1,1,,
18866-4,Azithromycin [Susceptibility],1,1,,
18867-2,Azlocillin [Susceptibility],1,1,,
18868-0,Aztreonam [Susceptibility],1,1,,
18869-8,Bacampicillin [Susceptibility,1,1,,
18870-6,Bacitracin [Susceptibility],1,1,,
18871-4,Butirosin [Susceptibility],1,1,,
18872-2,Capreomycin [Susceptibility],1,1,,
18873-0,Carbenicillin [Susceptibility,1,1,,
18874-8,Cefaclor [Susceptibility],1,1,,
18875-5,Cefadroxil [Susceptibility],1,1,,
18876-3,Cefamandole [Susceptibility],1,1,,
18877-1,Cefatrizine [Susceptibility],1,1,,
18878-9,ceFAZolin [Susceptibility],1,1,,
1887-9,Appearance of Amniotic fluid,1,1,,
18879-7,Cefepime [Susceptibility],1,1,,
18880-5,Cefixime [Susceptibility],1,1,,
18881-3,Cefmetazole [Susceptibility],1,1,,
18882-1,Cefodizime [Susceptibility],1,1,,
18883-9,Cefonicid [Susceptibility],1,1,,
18884-7,Cefoperazone [Susceptibility],1,1,,
18885-4,Ceforanide [Susceptibility],1,1,,
18886-2,Cefotaxime [Susceptibility],1,1,,
1888-7,Aquacobalamin [Mass/volume] i,1,1,,
18887-0,cefoTEtan [Susceptibility],1,1,,
18888-8,cefOXitin [Susceptibility],1,1,,
18889-6,Cefpirome [Susceptibility],1,1,,
18890-4,Cefpodoxime [Susceptibility],1,1,,
18891-2,Cefprozil [Susceptibility],1,1,,
